Gene.name	Row.names	logFC	logCPM	F	PValue	FDR	11VG	37VG	38VG	50VG	54VG	55VG	12MII	16MII	53MII	7MII	13MII	17MII	85MII
DEPDC7	ENSG00000121690	2.433464097	10.6299899	42.61296683	1.35E-06	0.002036836	8.859248146	8.821737465	8.12857786	9.090211996	8.973021769	8.948174434	10.35948566	11.27628236	11.39125776	12.03075596	11.03607914	11.56179834	10.51917571
MOB1A	ENSG00000114978	2.097777115	7.633699289	41.2253297	1.68E-06	0.002086063	5.479537148	6.028465748	6.311928414	6.274063132	5.658346438	6.443927917	7.75583261	7.841922477	8.424252867	8.706095166	8.043492485	8.279179898	7.883294509
SCOC	ENSG00000153130	2.18447351	7.732507606	40.42971963	1.94E-06	0.002086063	6.026558244	6.002868306	5.768354545	5.952621009	6.196335687	6.981366766	7.943157491	8.704546881	7.967053972	9.14511295	8.315405672	8.729638446	7.105278106
SEH1L	ENSG00000085415	2.566013141	7.433155275	40.66478987	1.98E-06	0.002086063	5.459655256	5.41014817	5.041268226	6.028589282	5.013670851	5.09228744	7.761572844	7.488967319	8.694272868	8.145310425	7.4305444	7.953433134	7.769981685
MAGOH	ENSG00000162385	2.68220708	8.384677104	40.61334305	2.00E-06	0.002086063	6.260723951	5.824028494	6.171974117	6.230463035	6.149080798	7.299734248	7.905438709	8.584123728	8.409131808	9.72992352	9.217977227	9.219879168	9.651629786
SKP2	ENSG00000145604	2.232217616	11.55187264	40.20995041	2.02E-06	0.002086063	9.303509277	9.562447133	8.737297305	10.42768876	10.07364121	10.19170502	11.04610435	12.43039247	12.25162016	11.55797053	11.36819499	12.30226003	12.68702079
	ENSG00000268119	3.21938988	5.634676868	39.65625946	2.38E-06	0.002319056	0.196805308	-0.298015613	-1.226783115	-0.584561118	-1.059752018	-0.088124212	-0.090485917	0.349337181	-1.369478619	-2.963713559	0.070842366	1.276956248	-1.508983323
GNAI1	ENSG00000127955	2.098200491	8.457947924	38.74218139	2.65E-06	0.002434008	6.457131416	7.099042062	7.051065419	6.899908325	7.11806646	6.533077318	8.445513194	8.879948479	9.412622519	9.382928165	8.679701866	9.330195742	8.299572681
DNAJC11	ENSG00000007923	-2.39382973	4.711705784	37.37378631	3.43E-06	0.002844886	5.749950909	5.664897754	5.121509898	5.71284832	5.730475799	6.19713484	3.411608422	2.99866933	4.027295571	3.094429124	2.62238417	3.168549538	3.632383926
MAP1LC3B	ENSG00000140941	1.702897723	8.328904582	37.36559876	3.44E-06	0.002844886	7.434700281	7.268635489	6.876738807	7.142961634	6.840552909	7.045621873	8.767350725	8.731662201	8.56076417	9.043329677	8.883075528	8.976684926	8.713659067
ATP6V0D1	ENSG00000159720	-2.583492652	6.258195901	36.74969453	4.11E-06	0.00316093	7.368601602	7.458053697	6.721351002	7.721905428	7.229318542	7.182150337	4.868678379	4.762145399	5.145998617	3.316174159	5.130867136	4.676277973	4.560399019
PCCB	ENSG00000114054	-2.722944089	7.493601237	36.04478884	4.71E-06	0.00316093	8.434854522	7.941330648	6.910041682	8.226767861	8.899743028	9.500026564	5.328928514	5.569132391	7.022755361	4.563397625	5.074711609	6.284606964	5.268815433
SHD	ENSG00000105251	-3.880881592	6.963454447	35.88983501	4.85E-06	0.00316093	8.277307688	7.58268602	7.667596212	7.81991608	7.95267724	9.466888052	3.675775703	3.686001592	2.486658784	3.834714921	5.620739953	4.959762703	4.589408718
ZNF503-AS1	ENSG00000226051	-8.762011149	0.069345054	43.87349632	5.08E-06	0.00316093	-1.248110105	0.737233453	2.234247747	0.607945051	0.115074817	1.869393936	-3.689597023	-3.689597023	-3.689597023	-3.689597023	-3.689597023	-3.689597023	-3.689597023
LIN7C	ENSG00000148943	3.359636512	7.68870456	35.48859805	5.25E-06	0.00316093	4.07317528	4.957553519	4.461530438	5.657263428	5.413165201	5.716190389	7.683763973	6.801332702	9.354168517	9.513010144	7.59201098	8.205045359	8.595044121
ISOC1	ENSG00000066583	1.930950799	8.593029694	35.17777149	5.27E-06	0.00316093	7.116985451	7.093455786	6.911654576	7.55540633	6.995809077	7.155359609	8.470001912	9.079172111	9.330483822	9.652090952	8.733862226	9.285883722	8.658750917
RBBP7	ENSG00000102054	1.9979912	10.48806793	35.17253107	5.28E-06	0.00316093	8.954556498	8.879862771	8.311972155	9.310172305	9.105068847	9.691208073	9.934230029	11.40284857	11.04299383	11.79816497	10.90539058	11.18280143	10.78467438
HMGB2	ENSG00000164104	2.625424739	8.677649071	35.3989455	5.34E-06	0.00316093	5.896723247	6.910710771	6.620418911	6.525070993	6.875566314	7.480289427	8.304815618	8.83936159	7.667498755	10.18450499	9.795246171	10.0634769	9.440341513
GDI2	ENSG00000057608	-1.905879909	7.855652402	34.78365093	5.71E-06	0.003258905	8.909007086	8.743049871	8.364383387	8.839039787	8.468724559	8.978470825	7.008881217	6.992810308	7.013897659	6.286784248	7.065687941	6.313261485	6.894392912
AHSA1	ENSG00000100591	2.134101154	8.718444111	34.30096259	6.57E-06	0.003582134	7.049172774	7.160886084	6.472656344	7.46248721	7.519722091	7.413331563	8.014335671	9.188350306	8.439768344	9.328583697	9.336009818	9.704711779	10.30759153
UBE2T	ENSG00000077152	2.333065018	8.565441632	34.21436801	6.77E-06	0.003582134	6.735022338	6.562302867	6.602954966	6.175914148	6.6604693	7.902789824	9.061854749	8.670408889	9.227190324	9.968783692	8.83201992	9.02901646	9.357541717
NUDCD2	ENSG00000170584	2.208670244	7.755262905	33.66252007	7.57E-06	0.003582134	5.345119346	6.129577809	6.085449054	5.917245023	6.261130676	6.869673925	7.809156223	7.52112856	8.321114704	9.122728045	8.241104693	8.693310098	8.364246306
UBE2C	ENSG00000175063	2.128668277	9.072758582	33.47509225	7.80E-06	0.003582134	8.024002585	7.503460099	7.587522741	7.459416194	7.135195003	7.661979298	8.993400139	9.811727691	8.741987126	10.04537027	9.91402102	10.01698268	9.947932937
SNRPC	ENSG00000124562	-2.930358518	5.870104431	33.45752026	7.89E-06	0.003582134	6.799219407	6.386165349	7.634575324	6.918238132	7.046620496	7.545547301	4.341960926	2.226298288	4.084818852	4.234905889	4.692505476	4.542295885	4.176601493
LINC02694	ENSG00000175779	-2.37836925	4.844283991	33.1417481	7.98E-06	0.003582134	5.180270365	5.864678119	5.661980494	6.151112857	5.390864984	6.695806106	3.217372929	2.642455525	3.679464112	3.689261559	3.430097063	3.945157316	3.822406141
TRIM13	ENSG00000204977	-4.179562448	6.056675622	33.37957154	8.02E-06	0.003582134	6.313600872	6.665887987	7.228746292	7.15114191	7.376695853	8.684512799	3.266046798	1.910331686	4.019449546	3.169486859	2.858398434	3.502991446	3.445566495
CALM1	ENSG00000198668	1.987888631	10.52948969	33.01080886	8.20E-06	0.003582134	9.081131825	8.612000079	8.687421016	8.95719632	9.29526618	9.969514454	10.41250693	11.07224956	10.81780075	12.08164139	10.84791638	10.89195692	11.38343555
GTPBP10	ENSG00000105793	-2.012542099	7.633768016	33.11963504	8.22E-06	0.003582134	8.545390365	8.580176972	8.094900896	8.363416233	8.607687656	8.772849674	6.491562091	6.390986894	6.902599882	6.155497728	6.597127812	7.212667282	4.504925581
APIP	ENSG00000149089	2.570724822	5.443585176	32.81225136	8.54E-06	0.003609384	2.171458172	3.62320324	3.295301831	4.074433113	3.340958379	3.680391382	6.057886105	5.755175244	5.586593612	6.131711318	6.160263576	6.629221668	5.608499548
NFKBIA	ENSG00000100906	2.25868915	10.9902549	32.74840003	9.13E-06	0.003609384	9.558737637	9.080579636	8.40136006	9.715360796	9.499509682	9.464875326	10.55722359	12.38419596	10.54546797	10.67156398	11.58380074	11.93067347	12.2431644
TMEM69	ENSG00000159596	2.177568365	7.844297535	32.64158328	9.33E-06	0.003609384	6.292682086	6.403826282	5.754041129	6.40889046	6.406732226	6.189029269	7.431635532	8.201680754	8.240514044	8.758865623	8.522085092	8.521305366	8.928667657
PRDX3	ENSG00000165672	2.427101533	9.781690056	32.54282131	9.53E-06	0.003609384	7.622442526	7.884419749	7.678816244	7.962155925	8.052631696	8.931509494	10.02783812	9.385062416	10.93592687	11.52418516	9.646237638	9.822391964	10.94605007
MRPL44	ENSG00000135900	1.803115098	8.32901289	32.25663792	9.60E-06	0.003609384	6.910048156	7.136344941	6.438603703	7.020606566	7.090390325	7.161172106	8.319302915	9.299358992	8.692886143	8.788270088	8.535385692	9.122449857	8.437727762
MGAT5	ENSG00000152127	-2.384274196	7.694330275	32.47782281	9.66E-06	0.003609384	9.370092491	8.199876762	7.759668587	9.083174928	8.145979408	8.392678356	5.842093698	6.626912842	5.722073923	4.581833725	6.390993978	6.33857279	6.957344801
NUP37	ENSG00000075188	2.440758429	8.510027154	32.40347975	9.81E-06	0.003609384	6.473953999	6.561853448	6.463888481	6.924296679	6.585790836	7.052786363	8.263909146	7.923489181	9.649004172	10.01113218	8.607774475	9.001328037	9.343014211
EIF2A	ENSG00000144895	1.594200783	8.857660026	31.90789638	1.03E-05	0.003646776	7.707618317	7.68857817	7.594167052	7.778975446	7.857214714	8.36272471	8.840387165	9.727464036	9.023459397	9.91466289	9.144087307	9.623092222	9.54413949
MORF4L1	ENSG00000185787	1.981732641	9.204170103	31.94166703	1.04E-05	0.003646776	7.480434044	7.219902824	7.761279661	7.702740204	8.255059655	8.403402298	9.166679632	9.32939084	10.11023866	10.62676428	9.523721654	9.804716098	9.815427177
TEX30	ENSG00000151287	-3.027978976	7.075607503	31.99703547	1.07E-05	0.003646776	8.082455948	7.858305705	8.393416939	7.75752535	8.309573022	8.774611143	5.439159573	3.833000621	3.300084996	5.518597237	5.264661947	6.109425252	5.272653192
ERP44	ENSG00000023318	1.940223247	7.810294464	31.70056025	1.08E-05	0.003646776	6.216981156	6.478111873	6.182700999	6.499242818	6.244006967	7.048760716	7.542727524	8.119559251	8.445086363	9.252945412	7.999610229	8.576423995	8.375889116
SOHLH2	ENSG00000120669	1.871699489	7.143647785	31.61081298	1.10E-05	0.003646776	5.630548838	5.583106672	5.699064353	6.439937744	5.883292668	5.824805955	6.942301965	8.292989465	7.685584314	8.062400509	7.863863035	7.895866073	6.913363729
CNP	ENSG00000173786	-2.791935339	4.319512833	31.48473305	1.13E-05	0.003672893	5.736588059	5.749421523	5.608089308	5.403373277	4.935236872	4.75061779	1.777607202	2.840825339	2.941677559	1.174255456	2.213386827	3.522755894	2.784431837
EPB41L5	ENSG00000115109	2.46964756	9.767631855	31.44858246	1.20E-05	0.003818359	7.481974881	8.258460592	6.991304102	8.266216401	8.105337727	7.245270328	9.770336462	10.76717865	11.28995629	9.025060461	9.658554675	10.32835517	9.920472647
SDCBP	ENSG00000137575	1.866082422	7.892132751	31.08887024	1.23E-05	0.003845623	5.903178143	6.422264275	6.539276164	6.714360616	7.103371953	6.770496284	7.815301961	8.381651069	9.115351975	8.913945267	7.733506713	8.907190889	7.785509775
SAMD4A	ENSG00000020577	-1.876456571	7.13758684	30.94224118	1.27E-05	0.003845623	7.371597142	7.822922569	7.445327261	7.914255445	8.045511375	8.959654935	5.403706208	5.735372725	6.392381534	5.936610565	6.138016006	6.064622156	6.917046409
RCCD1	ENSG00000166965	-3.068575886	6.182464861	30.94169606	1.34E-05	0.003845623	7.798964597	8.167749453	6.917446109	7.255999018	7.02895603	4.844431228	3.759752591	3.785645864	5.012049511	4.187539241	4.251538699	2.78245719	4.797291036
TAOK3	ENSG00000135090	1.773392548	8.452169264	30.69041312	1.34E-05	0.003845623	6.854984447	6.836851973	6.252075188	7.542404143	7.403076474	7.20845262	8.048475861	8.953302909	8.884861404	8.859104067	8.561856722	9.090318108	9.248663522
PCGF6	ENSG00000156374	2.124174559	7.226666579	30.8190862	1.37E-05	0.003845623	5.363960241	6.063809843	5.035362217	6.053824248	5.299890884	4.967054496	7.376453402	8.041579074	8.246618024	7.195190866	7.366073681	7.754663021	7.241729211
MEGF6	ENSG00000162591	-7.676183387	0.058446891	30.62890163	1.37E-05	0.003845623	0.459594045	-0.406405217	-0.902687695	-0.47307117	2.13792088	3.156308337	-3.689597023	-3.689597023	-3.689597023	-3.689597023	-3.689597023	-2.683199379	-3.689597023
VDAC3	ENSG00000078668	-2.703104194	6.281442063	30.7726858	1.39E-05	0.003845623	7.470223036	6.946613279	7.566790154	7.181011921	7.390378853	7.645191206	4.799268066	3.533817484	4.813107565	2.680901065	5.077312116	5.288928882	5.059655069
BCL2L10	ENSG00000137875	2.936199882	10.6770245	30.74588364	1.39E-05	0.003845623	8.28173774	8.87136441	7.374112337	8.778368852	8.039872393	7.903037608	10.38443256	11.98827127	11.54636935	10.43458505	11.15571395	10.77868933	11.56735588
C16orf74	ENSG00000154102	2.435205138	6.657647892	30.33001775	1.52E-05	0.004138328	5.163468555	4.785000947	4.285620713	4.573628201	4.986472543	4.537333541	6.956088408	7.017616505	7.312863691	5.753573766	6.894884812	6.986720287	8.253224155
SMCO4	ENSG00000166002	2.459840031	6.197429964	30.07811711	1.61E-05	0.004239904	4.706357294	4.225711151	4.379988325	4.532471077	4.351508462	4.398011836	7.102316175	5.025308573	7.066721971	6.688053193	7.496149133	5.943373694	7.527893882
SRP68	ENSG00000167881	-2.414542994	6.717126956	30.0703211	1.61E-05	0.004239904	7.542887278	7.524831572	6.953595594	7.934460266	7.701977066	7.65669887	4.623632549	5.653327186	4.294397825	3.904731026	6.084730656	5.585244163	4.730030011
THBS4-AS1	ENSG00000249825	-2.497526268	5.404209085	29.65725464	1.70E-05	0.004335581	5.76825133	5.870496521	5.661980494	6.406614479	6.513797547	7.322884265	3.609421075	4.574275144	3.319385316	3.050978827	2.963347034	3.64501867	4.863253182
AKIP1	ENSG00000166452	2.273092536	7.480827947	29.8105401	1.71E-05	0.004335581	5.271477382	5.785283516	5.346149611	5.72969735	5.97378525	6.301571945	6.750374923	7.895322968	8.236923805	8.317456656	7.363945243	8.26494803	8.700067328
NDUFB5	ENSG00000136521	-2.30544691	6.527909021	29.75579962	1.73E-05	0.004335581	7.516967391	7.508599544	8.001354917	6.996595575	7.716189076	7.84283106	5.564121827	4.847637534	6.146221335	5.458342482	5.391281064	5.402631308	2.551564706
BCL10	ENSG00000142867	2.195434779	6.916200192	29.48351582	1.83E-05	0.004373147	4.470910604	5.616381582	4.47381055	5.493632342	5.461703583	5.532363388	6.310234275	7.366379404	7.284910306	7.729112874	6.882299483	8.434302816	7.178359032
PPM1G	ENSG00000115241	-2.339361902	5.420734753	29.26797621	1.84E-05	0.004373147	6.696786096	6.929993114	5.99826773	6.979546897	5.965683722	5.388295195	4.337412907	3.015187262	4.644813459	3.177590577	4.969452208	3.472827624	3.95250759
FBXO43	ENSG00000156509	2.25702719	7.309347946	29.38618077	1.87E-05	0.004373147	4.821829534	5.511371717	4.678657941	6.232520433	5.813428049	5.013694265	7.068755166	7.90588064	8.538118513	7.285599446	6.785431473	8.057029007	7.552831382
ZNF593OS	ENSG00000236782	-3.888377161	3.944493815	29.34063076	1.89E-05	0.004373147	5.642723266	5.475553055	4.920859248	5.594660173	5.322724839	3.508664357	0.714869477	0.939775143	1.108197178	0.314005401	2.62238417	2.180931847	-0.844897777
SDCCAG8	ENSG00000054282	2.004794728	8.096731296	29.33715916	1.89E-05	0.004373147	6.379234419	6.478588147	6.50335884	6.949218162	6.391693199	7.333586292	7.718937599	8.052123148	8.280659367	9.585606382	8.329653884	8.334044662	9.565153875
WDR20	ENSG00000140153	1.875735062	8.147665221	29.1129551	1.92E-05	0.004373147	6.353203499	7.103063183	5.396779612	7.368791792	6.953421167	6.614012959	7.985194517	8.726655926	8.666281903	9.098123721	8.574797281	8.958205892	8.052260173
HMGN1	ENSG00000205581	1.667997338	6.978380976	29.0224889	1.94E-05	0.004373147	5.672177493	6.058722386	6.296208776	5.89728234	5.677605644	5.878211527	7.654125927	7.930037368	6.388579469	7.31114663	7.81015767	7.78617893	7.795547485
	ENSG00000261600	4.8727506	3.047718291	29.0634813	1.95E-05	0.004373147	0.196805308	-0.298015613	-1.226783115	-0.584561118	-1.059752018	-0.088124212	-0.090485917	0.349337181	-1.369478619	-2.963713559	0.070842366	1.276956248	-1.508983323
DCP1A	ENSG00000272886	1.724511162	8.332191628	28.90711219	1.99E-05	0.004397265	7.071041394	6.591659196	6.612506951	7.699025216	6.991255366	7.156607117	7.72873866	8.69752776	8.884456503	8.441888319	9.199147804	8.861841836	9.246632445
LTA4H	ENSG00000111144	2.041802898	8.059737725	28.96891292	2.06E-05	0.004456033	6.484446235	6.766047141	5.131510284	6.971870345	6.113905036	7.006029732	8.102914444	8.741002399	8.77177475	8.856740292	8.507697049	8.439186149	8.485358434
ETFA	ENSG00000140374	2.155395826	9.986070616	28.93572837	2.07E-05	0.004456033	8.6607652	8.402208067	7.947337514	8.294803045	8.327069975	8.899951468	9.742226382	10.56325551	10.54080781	11.54642979	10.16408209	10.21760804	10.76366516
REXO2	ENSG00000076043	2.173025176	8.716271755	28.78144567	2.14E-05	0.004508028	7.466180591	6.487134288	6.816714519	7.003539761	7.392538873	7.760990035	7.543714922	9.281760645	9.623108286	10.25680333	8.743718037	9.17881547	9.755839651
FAM228A	ENSG00000186453	-3.801275839	4.393023502	28.76918789	2.15E-05	0.004508028	5.081280265	4.960284259	4.96378171	5.845124529	5.760221984	6.647525358	2.426367009	1.761629919	1.472392285	2.5496883	1.523250437	2.551819223	-2.77628371
OAZ1	ENSG00000104904	2.242694385	7.40062537	28.58869577	2.24E-05	0.004635709	5.627210632	5.662384541	6.480067359	5.001634781	5.542515106	5.702589425	7.267115354	7.300523133	8.51249379	7.979946864	7.606036398	7.665795423	8.77503381
PCGF1	ENSG00000115289	2.235171358	6.866171667	28.14652563	2.47E-05	0.005022096	4.806169842	5.326900561	5.132617171	4.615221453	5.583176909	6.167739149	6.904752659	6.82260407	5.566541985	7.863275222	8.036827638	8.581733459	7.634880494
TEX10	ENSG00000136891	-2.420617484	6.840587117	28.12506564	2.49E-05	0.005022096	7.06488572	7.72174675	7.079468808	8.362007339	7.842911164	8.223434438	5.003969765	4.752325835	6.198407171	3.999203847	5.604605759	5.33157396	5.767443575
AVEN	ENSG00000169857	-3.342310294	5.826531667	27.91272382	2.61E-05	0.005174181	6.195353719	6.17612746	5.979319858	7.001429849	7.010510149	8.431844768	2.992857224	2.281962473	4.1758702	4.474103164	4.006148746	4.532580442	0.532845735
CETN3	ENSG00000153140	3.182579697	8.230046623	27.88810324	2.62E-05	0.005174181	5.183304327	6.227469555	6.088304316	5.41428979	5.760890956	6.524084074	6.777069282	7.355069427	8.015192122	10.91993596	8.479958024	9.425472391	8.576793733
LCMT1	ENSG00000205629	-2.810669774	7.347385503	27.78594831	2.69E-05	0.005187064	8.366929605	7.871784452	8.174174009	8.001898343	8.604430079	9.25940388	6.11878467	4.557456543	5.973225375	3.359560391	5.14333057	6.541117044	5.831287542
ERCC3	ENSG00000163161	-3.216597668	5.291816513	27.77420886	2.69E-05	0.005187064	6.815443275	6.417800998	5.696821101	7.066597271	5.820504566	5.845581175	4.221257649	3.350708775	0.619840681	1.038465638	4.136550584	2.389069485	2.940540696
FAM174B	ENSG00000185442	-2.056498773	5.003325745	27.43119795	2.79E-05	0.005276294	5.586537794	6.338159399	5.69307458	6.750703442	5.244525125	5.378349311	3.551694558	3.795241981	4.667583231	3.78784118	4.054462331	3.482952467	3.450092401
NOPCHAP1	ENSG00000151131	-3.891607695	5.920200999	27.57410849	2.82E-05	0.005276294	6.039172745	6.211513106	6.729055411	6.296854267	6.814690503	8.950813463	3.616946329	2.012591552	2.330543155	2.498852264	4.190393359	4.317473609	3.098793378
POLB	ENSG00000070501	1.761625248	8.168213886	27.31211887	2.87E-05	0.005276294	7.162664796	6.988348535	7.372473544	6.726820171	6.158250231	7.174370526	8.463625163	9.343971229	7.888736319	8.882376292	9.029917971	8.700920426	8.433448569
ZNF225	ENSG00000256294	-5.776351618	3.448333876	27.46523537	2.89E-05	0.005276294	4.186378316	4.908909359	3.803279951	5.601044167	5.324536038	3.149641079	-1.894359848	-3.689597023	1.166199579	-3.689597023	-0.991040104	-0.678419696	-3.689597023
HTATSF1	ENSG00000102241	1.71762097	6.970181879	27.16954725	2.97E-05	0.005276294	5.551745285	4.945200815	5.977472917	5.89728234	5.944050928	5.67151018	6.457912347	7.451528444	7.684964433	7.083721589	7.289644038	7.507420052	8.00305712
GAR1	ENSG00000109534	2.440361287	4.940402123	27.16000426	2.97E-05	0.005276294	2.546117178	3.066620237	3.14982133	3.571830637	3.289959399	3.725922502	3.867777327	4.757243972	5.607679224	5.863145773	5.817107253	6.268600964	6.373626458
LIMA1	ENSG00000050405	2.348128579	11.00022844	27.33160813	2.98E-05	0.005276294	8.647370153	9.03094943	8.560750267	9.591988615	9.365179667	8.985039799	10.17365578	11.69509122	12.49972581	11.15362436	10.60187	11.33168579	11.32778584
TMSB4X	ENSG00000205542	2.913769425	12.22511332	27.31297755	2.99E-05	0.005276294	9.926594856	8.557926407	9.617646537	9.945371965	9.605078314	11.38659546	12.05678428	13.12828894	12.46528161	13.3969398	12.13391726	12.5240493	14.11850922
REC114	ENSG00000183324	-3.770234028	9.967668219	27.20035114	3.07E-05	0.005358502	10.77568443	10.05595268	10.6556588	10.62648012	11.39634819	12.66962316	6.460005918	6.375077734	6.290932651	8.419213395	7.790878299	8.58995398	6.696237653
TUBE1	ENSG00000074935	2.405493287	7.344038885	27.06186353	3.17E-05	0.005440091	4.687249334	4.85563721	5.17621037	5.804903023	5.764231174	5.997183502	7.684211776	7.438574641	8.875248143	8.274183233	7.319605616	7.947047482	6.149869877
IRF8	ENSG00000140968	2.676248996	8.255413274	27.04534309	3.19E-05	0.005440091	5.064923572	6.599562871	4.730752868	6.700306695	6.689923341	5.315701343	7.727218417	9.301254409	9.129772462	5.720675696	8.594220041	9.193918325	9.18712977
KIF5B	ENSG00000170759	1.513054374	8.365992258	26.73003039	3.29E-05	0.005521217	7.099024028	6.578389415	7.185402139	7.587709583	7.729579118	7.249563619	8.076207837	8.465929199	8.778327665	8.942759519	8.769876667	8.906720879	9.324954714
TMEM216	ENSG00000187049	2.836214976	4.525471986	26.6742468	3.33E-05	0.005521217	2.43849886	2.672770429	2.772027584	2.484383375	2.104578299	2.037721257	5.245214398	4.351736032	6.411992354	3.890010985	5.769660193	5.328769839	3.97152138
ANAPC10	ENSG00000164162	2.219072585	6.195527993	26.82497981	3.33E-05	0.005521217	3.623967452	4.613464097	4.31711839	4.500387093	4.756257374	4.628864146	6.238260881	5.969523121	6.803283287	7.707237811	6.509340718	6.970620521	5.137481116
TFB2M	ENSG00000162851	2.776347861	6.667614943	26.69262536	3.46E-05	0.005575418	3.792387737	4.815482636	3.448932758	4.161235509	5.061154618	5.437021398	6.699006791	6.083558366	7.899730372	8.438730989	6.600747504	7.439508255	7.209057523
RNFT1	ENSG00000189050	2.205353402	6.754252926	26.6809354	3.47E-05	0.005575418	5.214781555	5.563485547	5.510137585	5.14068458	5.459232627	4.621655287	7.271592136	7.32474482	6.435031341	8.777646768	7.280645705	7.748905823	5.520863609
SEC13	ENSG00000157020	1.635286134	6.770973037	26.44738667	3.52E-05	0.005575418	5.861169359	5.43391906	5.922216486	5.661087381	5.512639418	5.3334599	6.886578211	7.069943304	7.21406587	6.699354495	7.231293949	7.344837948	8.039552849
ARL6IP6	ENSG00000177917	2.498692862	5.252724364	26.43293217	3.54E-05	0.005575418	2.881126426	3.609352144	4.526971516	2.947151653	3.108439139	2.324900812	5.755254198	5.397052997	5.67789705	6.797269671	5.541972131	5.974205901	5.687286907
MAPK12	ENSG00000188130	-8.027029375	1.250437352	26.4696142	3.65E-05	0.005575418	3.448466161	2.865720933	2.558021539	2.890947554	0.775249579	-0.526774976	-3.689597023	-2.560305211	-3.689597023	-2.963713559	-3.689597023	-3.689597023	-3.689597023
EPSTI1	ENSG00000133106	1.914422997	8.485474114	26.44996255	3.66E-05	0.005575418	6.856410725	7.072154688	5.394012967	7.582678133	7.041398894	7.217645902	7.997137981	9.195388585	8.896152729	9.209638913	8.854366191	9.332297267	8.427292841
MEAF6	ENSG00000163875	2.007719704	7.51438041	26.38259939	3.72E-05	0.005575418	5.099060994	5.970049951	5.978704474	6.144572219	6.179921935	6.813838414	7.397087546	7.699714398	7.452344513	9.179692243	8.017662142	8.461758995	7.685898379
SNAPIN	ENSG00000143553	2.573496267	7.684659746	26.37523025	3.73E-05	0.005575418	5.078023728	5.584877249	6.064722642	5.691319515	5.923284539	6.295544651	7.853230368	6.749211018	8.640457277	8.892104415	7.775347206	8.267512828	9.266013743
NCOR1	ENSG00000141027	1.996166774	9.187232023	26.34950889	3.75E-05	0.005575418	7.301424428	7.299693831	7.098003976	8.235513916	8.157329646	8.496491063	8.079615876	9.622389171	9.61410067	10.45738559	9.238888813	9.60567805	10.87981685
TTC9C	ENSG00000162222	-2.58535256	5.244534352	26.34065554	3.75E-05	0.005575418	6.226571956	6.50220354	6.323122034	6.553328314	6.074086935	6.672158482	4.364488414	2.461435488	3.150061502	3.359560391	4.542489212	2.277161303	4.692323362
